"name","toonGP","shipGP","totalGP"
"Ady","2413841","1777511","4191352"
"Baja_Miller","3054521","2093332","5147853"
"Beerus","2372925","1585803","3958728"
"BP260","2316779","1594903","3911682"
"Brick_Shatner","2587628","1518734","4106362"
"connie_lingus","1495214","1027736","2522950"
"Creepo","2594746","1729021","4323767"
"dafreq(temp)","2908716","2204463","5113179"
"Danius_Arbosa","2385515","1475269","3860784"
"Darth_Niel","2590187","1743939","4334126"
"drop","2590187","1743939","4334126"
"echuta","2073906","1406431","3480337"
"ecstasy_goat","1615817","1098844","2714661"
"erdori","2424181","1891100","4315281"
"Frizzy_Yeti","2359812","1702775","4062587"
"HappySad","2681000","2018056","4699056"
"Heliandor","2736088","1897897","4633985"
"Holder","2574893","1494746","4069639"
"Hurrey","2521678","1841333","4363011"
"Hylen","2420419","1845252","4265671"
"Intifada","2231088","1488102","3719190"
"Jan","2387056","1561729","3948785"
"Kura","2402872","1614036","4016908"
"Lavs","2688845","1894564","4583409"
"lonkkiz","2688845","1894564","4583409"
"lskywalker77","1718680","971293","2689973"
"darthluc","2752424","1852935","4605359"
"Marsa","2718051","1991358","4709409"
"MELO","2718051","1991358","4709409"
"Mobac","2745285","1952296","4697581"
"Morton","2942334","1954449","4896783"
"Mugatu","3037737","2173214","5210951"
"Ono","2954874","2144136","5099010"
"Pikax","2895673","1994815","4890488"
"Robbie","2948471","2024022","4972493"
"saltyscarab","593907","302947","896854"
"sinnjadekiller","2810167","1806056","4616223"
"Smith","2594333","1955826","4550159"
"Snommag","2385412","1655354","4040766"
"Terix","2677092","1782934","4460026"
"Tevir","2998990","1968555","4967545"
"Thranduel","2703945","1903017","4606962"
"Uq_Waw","2672547","1889841","4562388"
"Urizen","2728203","1871915","4600118"
"Vader78","2559773","1984916","4544689"
"Wen_Qualto","3022070","2048702","5070772"
"Wingman","2713454","1805466","4518920"
"(horyuji)","2268542","1613938","3882480"
