number,username,code
1,Ady,953678868
2,Baja_Miller,294865779
3,Beerus,159553514
4,BP260,555846377
5,Brick_Shatner,319499992
6,connie_lingus,184292276
7,Creepo,193687156
8,dafreq(temp),957626514
9,Danius_Arbosa,847875835
10,Darth_Niel,126472861
11,drop,835286624
12,echuta,714373795
13,ecstasy_goat,293377136
14,erdori,875449616
15,Frizzy_Yeti,797247639
16,HappySad,965449774
17,Heliandor,973718918
18,Holder,545856681
19,Hurrey,883558167
20,Hylen,232757485
21,Intifada,377815264
22,Jan,886115963
23,Kura,277739392
24,Lavs,716152774
25,lonkkiz,761571625
26,lskywalker77,166929481
27,darthluc,532619657
28,Marsa,849568558
29,MELO,523955362
30,Mobac,871356929
31,Morton,398222196
32,Mugatu,546234278
33,Ono,641665699
34,Pikax,495616697
35,Robbie,349451219
36,saltyscarab,499638945
37,sinnjadekiller,486822871
38,Smith,965273641
39,Snommag,941189488
40,Terix,313452666
41,Tevir,117866449
42,Thranduel,718869487
43,Uq_Waw,429763241
44,Urizen,837331916
45,Vader78,754614287
46,Wen_Qualto,899346765
47,Wingman,577881139
48,(horyuji),362689875
