"name","toonGP","shipGP","totalGP"
"Ady","916835200","623123573","1539958773"
"Baja_Miller","919888057","625214609","1545102666"
"Beerus","922259290","626800412","1549059702"
"BP260","924575265","628394869","1552970134"
"Brick_Shatner","927162533","629913603","1557076136"
"connie_lingus","928639058","630941248","1559580306"
"Creepo","931231365","632667486","1563898851"
"dafreq(temp)","934094082","634871949","1568966031"
"Danius_Arbosa","936468546","636347218","1572815764"
"Darth_Niel","939058594","638091157","1577149751"
"drop","941648642","639835096","1581483738"
"echuta","943718292","641237937","1584956229"
"ecstasy_goat","945333807","642336781","1587670588"
"erdori","947754894","644227671","1591982565"
"Frizzy_Yeti","950114088","645930446","1596044534"
"HappySad","952787930","647948502","1600736432"
"Heliandor","955524018","649846399","1605370417"
"Holder","958098911","651341145","1609440056"
"Hurrey","960617214","653182478","1613799692"
"Hylen","963037086","655027730","1618064816"
"Intifada","965268174","656515832","1621784006"
"Jan","967652145","658077561","1625729706"
"Kura","970024842","659691597","1629716439"
"Lavs","972710067","661586161","1634296228"
"lonkkiz","975395292","663480725","1638876017"
"lskywalker77","977108666","664452018","1641560684"
"darthluc","979858017","666300990","1646159007"
"Marsa","982574480","668292348","1650866828"
"MELO","985290943","670283706","1655574649"
"Mobac","988028031","672230352","1660258383"
"Morton","990970365","674183707","1665154072"
"Mugatu","994007023","676356921","1670363944"
"Ono","996949251","678501057","1675450308"
"Pikax","999844626","680495872","1680340498"
"Robbie","1002786017","682519894","1685305911"
"saltyscarab","1003377926","682822841","1686200767"
"sinnjadekiller","1006184010","684623913","1690807923"
"Smith","1008776631","686579739","1695356370"
"Snommag","1011154993","688235093","1699390086"
"Terix","1013818908","690000126","1703819034"
"Tevir","1016817478","691968681","1708786159"
"Thranduel","1019520283","693871698","1713391981"
"Uq_Waw","1022186089","695757369","1717943458"
"Urizen","1024912179","697629284","1722541463"
"Vader78","1027465571","699614200","1727079771"
"Wen_Qualto","1030482513","701661585","1732144098"
"Wingman","1033197605","703467051","1736664656"
"(horyuji)","1035466147","705080989","1740547136"
